0,1000,347,85,396,158
1,1000,287,283,339,365
3,1000,876,0,1006,142
4,1000,0,242,122,400
5,1001,271,77,298,125
0,1001,363,92,406,159
6,1001,489,91,521,152
7,1001,242,227,276,282
8,1001,284,220,323,286
1,1001,288,232,334,343
9,1001,298,292,343,371
4,1001,0,354,25,450
3,1001,882,12,1000,141
11,1001,2,256,121,398
5,1002,272,77,299,125
0,1002,364,92,406,159
6,1002,488,93,521,153
7,1002,241,227,276,281
1,1002,287,235,333,342
9,1002,297,295,341,372
4,1002,0,354,25,450
3,1002,866,21,988,152
11,1002,3,257,124,399
5,1003,273,77,300,125
0,1003,364,92,406,159
6,1003,487,94,519,153
7,1003,241,228,277,281
12,1003,247,228,292,312
1,1003,286,240,330,338
9,1003,296,299,339,371
4,1003,0,355,26,450
3,1003,858,35,981,161
11,1003,3,257,127,400
5,1004,274,77,301,125
0,1004,363,93,405,159
6,1004,486,95,518,152
7,1004,241,228,278,280
12,1004,247,229,294,314
1,1004,285,242,329,337
9,1004,294,303,338,373
4,1004,0,354,26,451
3,1004,847,45,975,167
11,1004,3,258,130,401
5,1005,274,75,301,124
0,1005,363,93,405,159
6,1005,484,94,516,152
7,1005,241,228,279,280
12,1005,247,228,296,316
1,1005,285,242,328,337
9,1005,243,298,292,373
4,1005,0,354,26,451
13,1005,838,64,960,198
11,1005,3,259,132,402
5,1006,275,73,302,122
0,1006,362,93,405,159
14,1006,484,95,514,151
7,1006,241,227,279,281
12,1006,247,227,299,320
1,1006,283,238,329,341
9,1006,243,293,295,376
4,1006,0,354,26,450
13,1006,831,77,953,212
11,1006,2,260,134,403
0,1007,287,67,320,118
15,1007,362,93,405,159
14,1007,483,95,513,152
7,1007,240,227,279,281
12,1007,247,226,300,320
1,1007,283,236,329,343
9,1007,290,298,333,379
4,1007,0,354,25,450
13,1007,819,87,942,222
11,1007,2,260,137,403
0,1008,287,69,319,120
15,1008,361,93,405,159
14,1008,482,96,513,153
7,1008,240,227,280,281
12,1008,247,226,300,320
1,1008,282,236,330,346
9,1008,288,296,332,383
4,1008,0,354,24,450
13,1008,807,101,938,245
11,1008,2,260,138,405
0,1009,288,71,318,122
15,1009,361,94,404,159
14,1009,480,96,513,154
7,1009,240,228,280,281
12,1009,248,227,299,318
1,1009,282,238,329,345
9,1009,287,296,331,386
13,1009,796,112,926,258
11,1009,2,261,140,406
0,1010,288,72,318,123
15,1010,361,94,404,160
14,1010,480,95,512,155
7,1010,240,228,280,282
12,1010,248,227,299,320
1,1010,281,238,329,346
9,1010,285,297,331,390
13,1010,786,123,913,275
11,1010,3,263,140,407
0,1011,289,72,319,123
15,1011,361,94,404,160
6,1011,472,94,506,154
7,1011,241,227,281,282
12,1011,249,227,300,320
1,1011,281,239,327,342
9,1011,241,296,294,385
13,1011,775,146,907,298
11,1011,3,264,142,407
0,1012,289,72,320,123
15,1012,361,93,404,160
6,1012,472,94,506,154
7,1012,241,227,282,282
12,1012,250,227,302,322
1,1012,282,240,327,339
9,1012,240,297,292,383
13,1012,764,155,888,310
11,1012,2,264,144,408
0,1013,289,72,322,124
15,1013,360,93,404,160
6,1013,471,94,506,155
12,1013,250,228,304,323
1,1013,282,240,327,336
9,1013,239,297,293,380
13,1013,754,168,881,324
11,1013,2,265,147,410
0,1014,290,73,322,126
15,1014,360,93,404,160
6,1014,471,94,506,155
12,1014,250,227,306,324
1,1014,281,240,327,335
9,1014,281,306,330,394
13,1014,745,176,871,334
11,1014,2,266,148,412
0,1015,290,74,323,128
15,1015,359,93,403,160
6,1015,471,95,506,156
12,1015,250,228,306,322
1,1015,281,242,326,331
9,1015,281,307,329,395
13,1015,729,200,863,357
11,1015,2,269,149,414
0,1016,291,74,324,128
15,1016,359,93,403,160
6,1016,471,96,505,157
12,1016,251,229,304,318
1,1016,282,243,325,326
9,1016,280,309,327,396
13,1016,717,214,843,374
11,1016,2,271,150,415
0,1017,292,72,326,126
